include,paperId,title,year,venue,citationCount,abstract,source,pre_score
,489de90ea5f58d1a6ba8cba0f2d4baadba95f2fa,Regret Minimisation and System-Efficiency in Route Choice,2019,Anais do Concurso de Teses e Dissertações da SBC (CTD-SBC),4,"Traffic congestions present a major challenge in large cities. Consid- ering the distributed, self-interested nature oftraffic we tackle congestions using multiagent reinforcement learning (MARL). In this thesis, we advance the state- of-the-art by delivering the first MARL convergence guarantees in congestion- like problems. We introduce an algorithm through which drivers can learn opti- mal routes by locally estimating the regret associated with their decisions, which we prove to converge to a",authors3,3
,e77a205defbdaeea083f7c7dd76489e87a6a6056,A Hybrid Evolutionary and Multiagent Reinforcement Learning Approach to Accelerate the Computation of Traffic Assignment: (Extended Abstract),2015,Adaptive Agents and Multi-Agent Systems,4,"Traditionally, traffic assignment allocates trips to links in a traffic network. Nowadays it is also useful to recommend routes. Here, it is interesting to recommend routes that are as close as possible to the system optimum, while also considering the user equilibrium. To compute an approximation of such an assignment, we use a hybrid approach in which an optimization process based on an evolutionary algorithm is combined with multiagent reinforcement learning. This has two advantages: first, t",authors3,3
,4f03b6348f77eaa078615386bbd81791eb1898d2,Independent learners in abstract traffic scenarios,2013,International Conference on Robot Intelligence Technology and Applications,4,"Traffic is a phenomena that emerges from individual, uncoordinatedand, most of the times, selfish route choice made by drivers. In general, this leads topoor global and individual performance, regarding travel times and road network loadbalance. This work presents a reinforcement learning based approach for route choicewhich relies solely on drivers experience to guide their decisions. There is no coordinatedlearning mechanism, thus driver agents are independent learners. Our approachis tested o",authors3,3
,f04d9465fb81da377adff97298d95cd4103084c2,Reinforcement learning for route choice in an abstract traffic scenario,2012,"Anais do VI Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações (WESAAC 2012)",5,"Traffic movement in a commuting scenario is a phenomena that results from individual and uncoordinated route choice by drivers. Every driver wishes to achieve reasonable travel times from his origin to his destination and, from a global point of view, it is desirable that the load gets distributed proportionally to the roads capacity on the network. This work presents a reinforcement learning algorithm for route choice which relies solely on drivers experience to guide their decisions. Experimen",authors3,3
,7b2d0f539828083b6a5dbdaea1ba6300bfbab7a1,Optimizing Urban Route Choice for Autonomous Vehicles using Multi-Agent Reinforcement Learning,0,Proceedings of the 25th International Conference on Autonomous Agents and Multiagent Systems,0,,authors3,3
,70e2820131e597aa5bbb89b95dd1639f12c4e115,"Multi-Objective, Multi-Armed Bandits: Algorithms for Repeated Games and Application to Route Choice",2023,International Conference on Robot Intelligence Technology and Applications,1,"Multi-objective decision-making in multi-agent scenarios poses multiple challenges. Dealing with multiple objectives and non-stationarity caused by simultaneous learning are only two of them, which have been addressed separately. In this work, reinforcement learning algorithms that tackle both issues together are proposed and applied to a route choice problem, where drivers must select an action in a single-state formulation, while aiming to minimize both their travel time and toll. Hence, we de",authors3,2
,13ee9e9cc27da3f746c4f28999a3d597651f3a9d,Multi-agent reinforcement learning for route guidance system,2011,,9,,authors3,2
,c2180fc60427c9e105ce38ab16d09ee675b35db6,Self-adaptive and multi-agent reinforcement learning in route guidance system,2011,2011 Malaysian Conference in Software Engineering,0,,authors3,2
