paperId,title,year,venue,citationCount,abstract,source,pre_score
48e4d0c0a7875cfc759784beab345c5a3655452f,Analyzing Road Network Inefficiency via Simulation: Towards a MARL Evaluation Testbed,2026,IEEE Systems Conference,0,"The Price of Anarchy (PoA) quantifies the efficiency loss that emerges in traffic networks when drivers make route choices selfishly rather than cooperatively. While prior work has shown that control interventions such as speed limit design or signal optimization can reduce this inefficiency, the mechanisms behind inefficiency and the conditions under which cooperation becomes worthwhile-remain less understood. This paper presents a systematic simulation-based analysis of how network inefficienc",snowball4_citations_ced94c9f,3
bae1891a70d234222d7e1f56283a71547b21eac6,A Hierarchical Divide‐and‐Conquer Neural Approach for Multiple Traveling Salesman Problems,2026,Networks,0,"
 The multiple traveling salesman problem (mTSP) has attracted considerable attention due to its importance in logistics, robotics, and transportation systems. However, existing deep reinforcement learning (DRL) methods often rely on monolithic solution paradigms, which limit scalability, underutilize local graph structures, and hinder adaptability in dynamic decision‐making. To address these challenges, we propose a hierarchical divide‐and‐conquer neural approach (HDCN) for solving mTSPs in a s",snowball4_citations_48f354ad,2
