include,paperId,title,year,venue,citationCount,abstract,source,note
,9c46489178e0b8e1f002d58e16d03181b9ea73f3,CTD: Cascaded Temporal Difference Learning for the Mean-Standard Deviation Shortest Path Problem,2022,IEEE transactions on intelligent transportation systems (Print),19,"This paper investigates the reliable shortest path (RSP) planning problem from the reinforcement learning perspective. Different from canonical path planning methods, which require at least the first- order statistic (mean) and second-order statistic (variance) information of travel time distribution, we target at the RSP planning problem without the assumption of knowing any travel time distribution characteristic beforehand, and propose a cascaded temporal difference learning (CTD) method, whi",drl_router_references,CTD - TD learning for mean-std RSP
,4bd59553567fe38366fb1b3dc4f1d5529f2f5415,Using Reinforcement Learning to Minimize the Probability of Delay Occurrence in Transportation,2020,IEEE Transactions on Vehicular Technology,59,"Reducing traffic delay is of crucial importance for the development of sustainable transportation systems, which is a challenging task in the studies of stochastic shortest path (SSP) problem. Existing methods based on the probability tail model to solve the SSP problem, seek for the path that minimizes the probability of delay occurrence, which is equal to maximizing the probability of reaching the destination before a deadline (i.e., arriving on time). However, they suffer from low accuracy or",drl_router_references,Q-learning for delay probability minimization
