paperId,title,year,venue,citationCount,abstract,source,pre_score
4a265dc641cc3227c713dfa3d2f074db3f4ece98,Adversarial Reinforcement Learning for Enhanced Decision-Making of Evacuation Guidance Robots in Intelligent Fire Scenarios,2025,IEEE Transactions on Computational Social Systems,3,"In the context of rapid urbanization, traditional manual guidance and static evacuation signs are increasingly inadequate for addressing complex and dynamic emergencies. This study proposes an innovative emergency evacuation framework that optimizes the crowd evacuation by integrating multiagent reinforcement learning (MARL) with adversarial reinforcement learning (ARL). The developed simulation environment models realistic human behavior in complex buildings and incorporates robotic navigation ",expanded4,3
36795a3c6210c3f3767a45947d96094b5c93661f,Recent Trends in Computational Guidance and Control for Space Applications,2023,Papers of ESA GNC-ICATT 2023,0,"This paper presents a survey of the most recent literature developments in the field of computational guidance and control for space applications.
 In recent years, the space sector has changed significantly, shifting towards solutions requiring increased performance and autonomy. This change has also been accelerated by the technical and economic needs of the new space approach. However, traditional guidance and control techniques cannot always meet the increasing requirements of autonomy and p",expanded4,2
