include,paperId,title,year,venue,citationCount
,4195ad8f68c1aa61dc1171dd3ab0c2798c97ae14,Dynamic Origin-Destination Matrix Estimation Using Metamodel-Based Model Predictive Control for Real Time Application,2025,Transportation Research Record,1
,a9e7cebc72f8761d753777d2caa56db1ec29de21,Bi-Objective Optimization for Time-Dependent Preference-Driven Route Planning,2026,IEEE Transactions on Emerging Topics in Computational Intelligence,0
,22549ed529b49924c8d1be819e0961616b45d4eb,A Hybrid PPO-GNN Framework for Adaptive Vehicle Routing Under Uncertainty: Application to Fuel Delivery Logistics,2025,IEEE Access,0
