include,paperId,title,year,venue,citationCount,abstract,source,pre_score
,58ef59ca6bab8c044e7abc04d00f5361f2f20233,Fast Multi-Class Vehicle Cooperative Path Optimization in Complex Urban V2X Transportation: A Novel Parallel Multi-Agent Reinforcement Learning Approach,2024,2024 IEEE Intelligent Vehicles Symposium (IV),0,"Urban road traffic systems are advancing into sophisticated networks, underscoring the importance of real-time collaborative decision-making. This study tackles the intricate challenge of cooperative path planning under complex urban conditions, taking into account a variety of vehicle types and their respective priorities. While conventional path planning techniques struggle with such intricate coordination, reinforcement learning, though theoretically capable, is hindered by its limited model ",rsp_rl,3
,33b087ec6f7ed73338116763eeae16131361eea7,Radio Resource Management and Path Planning in Intelligent Transportation Systems via Reinforcement Learning for Environmental Sustainability,2024,arXiv.org,5,"Efficient and dynamic path planning has become an important topic for urban areas with larger density of connected vehicles (CV) which results in reduction of travel time and directly contributes to environmental sustainability through reducing energy consumption. CVs exploit the cellular wireless vehicle-to-everything (C-V2X) communication technology to disseminate the vehicle-to-infrastructure (V2I) messages to the Base-station (BS) to improve situation awareness on urban roads. In this paper,",rsp_rl,3
,bac4e33e9d2ed23dde3f573b63c28705466dac90,Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,2022,"International Conference on Control, Decision and Information Technologies",5,"In this paper, the path planning problem under routing decisions is considered for platoons of autonomous vehicles moving in urban road networks. The key idea is to exploit and adequately combine arguments coming from two research fields: deep reinforcement learning and model predictive control. Along these lines, a novel control architecture is proposed and its feasibility formally proved. In particular, the high-level routing decisions arising from the distributed deep reinforcement learning o",rsp_rl,3
,2bf877afe5c7e7a2cd74cd013d91a739cd6e0bcf,Risk-Aware Travel Path Planning Algorithm Based on Reinforcement Learning during COVID-19,2022,Sustainability,7,"The outbreak of COVID-19 brought great inconvenience to people’s daily travel. In order to provide people with a path planning scheme that takes into account both safety and travel distance, a risk aversion path planning model in urban traffic scenarios was established through reinforcement learning. We have designed a state and action space of agents in a “point-to-point” way. Moreover, we have extracted the road network model and impedance matrix through SUMO simulation, and have designed a Re",rsp_rl,3
,e85d18aa3ab40c1c127b080e87d1bb075a1d5c09,DRL Router: Distributional Reinforcement Learning-Based Router for Reliable Shortest Path Problems,2023,IEEE Intelligent Transportation Systems Magazine,9,"This article studies reliable shortest path (RSP) problems in stochastic transportation networks. The term reliability in the RSP literature has many definitions, e.g., 1) maximal stochastic on-time arrival probability, 2) minimal travel time with a high-confidence constraint, 3) minimal mean and standard deviation combination, and 4) minimal expected disutility. To the best of our knowledge, almost all state-of-the-art RSP solutions are designed to target one specific RSP objective, and it is v",rsp_rl,2
